DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.00073214	0	0	2	1	12	1	1002	0	10978	15	0	37.2194	0	0
DL	0.00073214	0	0	2	1	12	1	1002	0	10978	15	0	48.0747	0	0
DL	0.00073214	0	0	2	1	12	1	1002	0	10978	15	0	44.9161	0	0
DL	0.00098214	0	0	3	1	12	1	1002	0	10978	15	0	37.2194	0	0
DL	0.00098214	0	0	3	1	12	1	1002	0	10978	15	0	48.0747	0	0
DL	0.00098214	0	0	3	1	12	1	1002	0	10978	15	0	44.9161	0	0
DL	0.00123214	0	1	0	1	12	1	1003	0	10978	15	0	37.2194	0	0
DL	0.00123214	0	1	0	1	12	1	1003	0	10978	15	0	48.0747	0	0
DL	0.00123214	0	1	0	1	12	1	1003	0	10978	15	0	44.9161	0	0
DL	0.00148214	0	1	1	1	12	1	1004	0	10978	15	0	37.2194	0	0
DL	0.00148214	0	1	1	1	12	1	1004	0	10978	15	0	48.0747	0	0
DL	0.00148214	0	1	1	1	12	1	1004	0	10978	15	0	44.9161	0	0
DL	0.00173214	0	1	2	1	12	1	1005	0	10978	15	0	37.2194	0	0
DL	0.00173214	0	1	2	1	12	1	1005	0	10978	15	0	48.0747	0	0
DL	0.00173214	0	1	2	1	12	1	1005	0	10978	15	0	44.9161	0	0
DL	0.00198214	0	1	3	1	12	1	1006	0	10978	15	0	37.2194	0	0
DL	0.00198214	0	1	3	1	12	1	1006	0	10978	15	0	48.0747	0	0
DL	0.00198214	0	1	3	1	12	1	1006	0	10978	15	0	44.9161	0	0
DL	0.00223214	0	2	0	1	12	1	1001	0	10978	15	0	37.2194	0	0
DL	0.00223214	0	2	0	1	12	1	1001	0	10978	15	0	48.0747	0	0
DL	0.00223214	0	2	0	1	12	1	1001	0	10978	15	0	44.9161	0	0
DL	0.00248214	0	2	1	1	12	1	1002	0	10978	15	0	37.2194	0	0
DL	0.00248214	0	2	1	1	12	1	1002	0	10978	15	0	48.0747	0	0
DL	0.00248214	0	2	1	1	12	1	1002	0	10978	15	0	44.9161	0	0
DL	0.00273214	0	2	2	1	12	1	1003	0	10978	15	0	37.2194	0	0
DL	0.00273214	0	2	2	1	12	1	1003	0	10978	15	0	48.0747	0	0
DL	0.00273214	0	2	2	1	12	1	1003	0	10978	15	0	44.9161	0	0
DL	0.00298214	0	2	3	1	12	1	1004	0	10978	15	0	37.2194	0	0
DL	0.00298214	0	2	3	1	12	1	1004	0	10978	15	0	48.0747	0	0
DL	0.00298214	0	2	3	1	12	1	1004	0	10978	15	0	44.9161	0	0
DL	0.00323214	0	3	0	1	12	1	1005	0	10978	15	0	37.2194	0	0
DL	0.00323214	0	3	0	1	12	1	1005	0	10978	15	0	48.0747	0	0
DL	0.00323214	0	3	0	1	12	1	1005	0	10978	15	0	44.9161	0	0
DL	0.00348214	0	3	1	1	12	1	1006	0	10978	15	0	37.2194	0	0
DL	0.00348214	0	3	1	1	12	1	1006	0	10978	15	0	48.0747	0	0
DL	0.00348214	0	3	1	1	12	1	1006	0	10978	15	0	44.9161	0	0
DL	0.00373214	0	3	2	1	12	1	1001	0	10978	15	0	37.2194	0	0
DL	0.00373214	0	3	2	1	12	1	1001	0	10978	15	0	48.0747	0	0
DL	0.00373214	0	3	2	1	12	1	1001	0	10978	15	0	44.9161	0	0
DL	0.00398214	0	3	3	1	12	1	1002	0	10978	15	0	37.2194	0	0
DL	0.00398214	0	3	3	1	12	1	1002	0	10978	15	0	48.0747	0	0
DL	0.00398214	0	3	3	1	12	1	1002	0	10978	15	0	44.9161	0	0
DL	0.00423214	0	4	0	1	12	1	1003	0	10978	15	0	37.2194	0	0
DL	0.00423214	0	4	0	1	12	1	1003	0	10978	15	0	48.0747	0	0
DL	0.00423214	0	4	0	1	12	1	1003	0	10978	15	0	44.9161	0	0
DL	0.00448214	0	4	1	1	12	1	1004	0	10978	15	0	37.2194	0	0
DL	0.00448214	0	4	1	1	12	1	1004	0	10978	15	0	48.0747	0	0
DL	0.00448214	0	4	1	1	12	1	1004	0	10978	15	0	44.9161	0	0
DL	0.00473214	0	4	2	1	12	1	1005	0	10978	15	0	37.2194	0	0
DL	0.00473214	0	4	2	1	12	1	1005	0	10978	15	0	48.0747	0	0
DL	0.00473214	0	4	2	1	12	1	1005	0	10978	15	0	44.9161	0	0
DL	0.00498214	0	4	3	1	12	1	1006	0	10978	15	0	37.2194	0	0
DL	0.00498214	0	4	3	1	12	1	1006	0	10978	15	0	48.0747	0	0
DL	0.00498214	0	4	3	1	12	1	1006	0	10978	15	0	44.9161	0	0
DL	0.00523214	0	5	0	1	12	1	1001	0	10978	15	0	37.2194	0	0
DL	0.00523214	0	5	0	1	12	1	1001	0	10978	15	0	48.0747	0	0
DL	0.00523214	0	5	0	1	12	1	1001	0	10978	15	0	44.9161	0	0
DL	0.00548214	0	5	1	1	12	1	1002	0	10978	15	0	37.2194	0	0
DL	0.00548214	0	5	1	1	12	1	1002	0	10978	15	0	48.0747	0	0
DL	0.00548214	0	5	1	1	12	1	1002	0	10978	15	0	44.9161	0	0
DL	0.00573214	0	5	2	1	12	1	1003	0	10978	15	0	37.2194	0	0
DL	0.00573214	0	5	2	1	12	1	1003	0	10978	15	0	48.0747	0	0
DL	0.00573214	0	5	2	1	12	1	1003	0	10978	15	0	44.9161	0	0
DL	0.00598214	0	5	3	1	12	1	1004	0	10978	15	0	37.2194	0	0
DL	0.00598214	0	5	3	1	12	1	1004	0	10978	15	0	48.0747	0	0
DL	0.00598214	0	5	3	1	12	1	1004	0	10978	15	0	44.9161	0	0
DL	0.00623214	0	6	0	1	12	1	1005	0	10978	15	0	37.2194	0	0
DL	0.00623214	0	6	0	1	12	1	1005	0	10978	15	0	48.0747	0	0
DL	0.00623214	0	6	0	1	12	1	1005	0	10978	15	0	44.9161	0	0
DL	0.00648214	0	6	1	1	12	1	1006	0	10978	15	0	37.2194	0	0
DL	0.00648214	0	6	1	1	12	1	1006	0	10978	15	0	48.0747	0	0
DL	0.00648214	0	6	1	1	12	1	1006	0	10978	15	0	44.9161	0	0
DL	0.00673214	0	6	2	1	12	1	1001	0	10978	15	0	37.2194	0	0
DL	0.00673214	0	6	2	1	12	1	1001	0	10978	15	0	48.0747	0	0
DL	0.00673214	0	6	2	1	12	1	1001	0	10978	15	0	44.9161	0	0
DL	0.00698214	0	6	3	1	12	1	1002	0	10978	15	0	37.2194	0	0
DL	0.00698214	0	6	3	1	12	1	1002	0	10978	15	0	48.0747	0	0
DL	0.00698214	0	6	3	1	12	1	1002	0	10978	15	0	44.9161	0	0
